time,pow_blocks,pos_blocks,fpos_blocks,all_blocks
2018-10-10 00:00:16,667,184,221,1072
2018-10-11 00:00:00,675,185,225,1085
2018-10-12 00:03:28,636,183,221,1040
2018-10-13 00:00:12,641,180,230,1051
2018-10-14 00:04:37,551,165,218,934
2018-10-15 00:05:10,607,183,224,1014
2018-10-16 00:02:30,618,185,227,1030
2018-10-17 00:01:59,597,181,225,1003
2018-10-18 00:00:17,608,180,223,1011
2018-10-19 00:07:28,635,194,225,1054
2018-10-20 00:01:52,657,178,225,1060
2018-10-21 00:05:23,669,189,233,1091
2018-10-22 00:06:34,670,182,231,1083
2018-10-23 00:07:02,674,182,229,1085
2018-10-24 00:01:10,655,185,227,1067
2018-10-25 00:00:45,654,188,228,1070
2018-10-26 00:03:59,666,180,231,1077
2018-10-27 00:00:10,668,185,229,1082
2018-10-28 00:03:35,662,187,229,1078
2018-10-29 00:00:17,658,184,214,1056
2018-10-30 00:02:48,568,182,223,973
2018-10-31 00:04:51,646,190,219,1055
2018-11-01 00:00:36,663,181,222,1066
2018-11-02 00:01:55,664,189,222,1075
2018-11-03 00:07:18,669,184,228,1081
2018-11-04 00:00:14,671,177,224,1072
2018-11-05 00:02:07,644,181,227,1052
2018-11-06 00:06:42,651,189,228,1068
2018-11-07 00:00:12,653,179,229,1061
2018-11-08 00:00:49,641,185,220,1046
2018-11-09 00:01:29,632,185,224,1041
2018-11-10 00:01:36,653,177,220,1050
2018-11-11 00:07:34,652,188,226,1066
2018-11-12 00:00:09,621,176,237,1034
2018-11-13 00:07:35,646,183,233,1062
2018-11-14 00:02:36,653,189,222,1064
2018-11-15 00:00:19,652,178,224,1054
2018-11-16 00:01:24,647,189,227,1063
2018-11-17 00:01:06,653,183,226,1062
2018-11-18 00:00:34,657,174,229,1060
2018-11-19 00:00:03,659,190,222,1071
2018-11-20 00:04:11,659,178,231,1068
2018-11-21 00:08:07,631,182,232,1045
2018-11-22 00:09:25,662,182,217,1061
2018-11-23 00:00:32,646,185,230,1061
2018-11-24 00:00:22,657,182,233,1072
2018-11-25 00:02:41,667,182,226,1075
2018-11-26 00:01:36,657,188,218,1063
2018-11-27 00:00:02,678,183,219,1080
2018-11-28 00:00:08,674,187,213,1074
2018-11-29 00:09:28,682,184,222,1088
